FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
1254,1,0,0,0,25.147754,5.111808,0.386048,6.530048,0.675424,0.291426,13.330954,1.990219,0.065003,0.385665,0.022704,-16.884361,-3.486539,-2.386771,-2.351314,-2.326122,-1.673601
1255,1,0,0,0,25.164414,5.110784,0.393216,6.578176,0.677888,0.271210,13.308870,1.746690,0.107302,0.343366,0.025193,-16.794786,-3.492759,-2.416628,-2.398900,-2.379928,-1.774060
1256,1,0,0,0,25.181074,5.106688,0.387072,6.561792,0.680736,0.297335,13.418349,1.636589,0.061893,0.378823,0.030169,-16.790121,-3.491514,-2.459238,-2.442443,-2.420049,-1.664892
1257,1,0,0,0,25.197730,5.101568,0.398336,6.542336,0.676352,0.348343,13.371696,1.740781,0.053495,0.406815,0.024571,-16.903645,-3.489026,-2.398900,-2.381483,-2.358156,-1.754777
1258,1,0,0,0,25.214414,5.110784,0.398336,6.589440,0.675360,0.419255,13.289276,1.654939,0.114144,0.380689,0.025815,-16.869741,-3.502711,-2.288487,-2.252098,-2.228772,-1.475791
1259,1,0,0,0,25.231047,5.092352,0.381952,6.522880,0.674592,0.715969,13.421149,1.846839,0.070602,0.298268,0.041366,-16.734449,-3.451704,-2.240279,-2.221929,-2.197359,-1.466772
1260,1,0,0,0,25.247722,5.118976,0.388096,6.603776,0.683008,0.350520,13.276525,1.846528,0.146491,0.368559,0.055362,-16.880007,-3.509864,-2.423159,-2.406675,-2.385837,-1.695372
1261,1,0,0,0,25.264363,5.146624,0.380928,6.549504,0.677376,0.332792,13.271859,1.676399,0.072468,0.363583,0.034523,-16.714855,-3.470366,-2.376507,-2.358468,-2.335763,-1.576252
1262,1,0,0,0,25.281021,5.070848,0.381952,6.492160,0.676704,0.321284,13.296119,1.791477,0.104814,0.377890,0.023327,-16.735071,-3.494625,-2.239658,-2.207312,-2.170300,-1.507516
1263,1,0,0,0,25.297699,5.084160,0.379904,6.493184,0.672768,0.389708,13.189439,1.833776,0.141514,0.385976,0.049763,-16.773014,-3.503955,-2.341361,-2.320523,-2.295019,-1.439713
